"Stunden","FR.stadteinwärts","FR.stadtauswärts","noOfBikes","Wetter","temp","wind","date","year","month","day","weekday","hour"
"1/1/2015 0:00",33,78,111,NA,1,7,2015-01-01 00:00:00,2015,1,1,"Thurs",0
"1/1/2015 1:00",114,116,230,NA,1,7,2015-01-01 01:00:00,2015,1,1,"Thurs",1
"1/1/2015 2:00",103,121,224,NA,0,9,2015-01-01 02:00:00,2015,1,1,"Thurs",2
"1/1/2015 3:00",90,183,273,NA,1,11,2015-01-01 03:00:00,2015,1,1,"Thurs",3
"1/1/2015 4:00",53,147,200,NA,1,9,2015-01-01 04:00:00,2015,1,1,"Thurs",4
"1/1/2015 5:00",31,81,112,NA,1,11,2015-01-01 05:00:00,2015,1,1,"Thurs",5
"1/1/2015 6:00",10,41,51,NA,0,11,2015-01-01 06:00:00,2015,1,1,"Thurs",6
"1/1/2015 7:00",7,21,28,NA,1,13,2015-01-01 07:00:00,2015,1,1,"Thurs",7
"1/1/2015 8:00",5,13,18,NA,2,13,2015-01-01 08:00:00,2015,1,1,"Thurs",8
"1/1/2015 9:00",15,11,26,NA,1,7,2015-01-01 09:00:00,2015,1,1,"Thurs",9
"1/1/2015 10:00",32,14,46,NA,3,11,2015-01-01 10:00:00,2015,1,1,"Thurs",10
"1/1/2015 11:00",28,16,44,NA,4,19,2015-01-01 11:00:00,2015,1,1,"Thurs",11
"1/1/2015 12:00",37,30,67,NA,4,19,2015-01-01 12:00:00,2015,1,1,"Thurs",12
"1/1/2015 13:00",50,49,99,NA,5,20,2015-01-01 13:00:00,2015,1,1,"Thurs",13
"1/1/2015 14:00",100,56,156,NA,5,19,2015-01-01 14:00:00,2015,1,1,"Thurs",14
"1/1/2015 15:00",107,65,172,NA,4,15,2015-01-01 15:00:00,2015,1,1,"Thurs",15
"1/1/2015 16:00",76,75,151,NA,4,13,2015-01-01 16:00:00,2015,1,1,"Thurs",16
"1/1/2015 17:00",53,50,103,NA,4,15,2015-01-01 17:00:00,2015,1,1,"Thurs",17
"1/1/2015 18:00",52,82,134,NA,4,19,2015-01-01 18:00:00,2015,1,1,"Thurs",18
"1/1/2015 19:00",42,58,100,NA,4,22,2015-01-01 19:00:00,2015,1,1,"Thurs",19
"1/1/2015 20:00",20,36,56,NA,5,26,2015-01-01 20:00:00,2015,1,1,"Thurs",20
"1/1/2015 21:00",18,30,48,NA,4,22,2015-01-01 21:00:00,2015,1,1,"Thurs",21
"1/1/2015 22:00",25,26,51,NA,4,20,2015-01-01 22:00:00,2015,1,1,"Thurs",22
"1/1/2015 23:00",15,17,32,NA,5,24,2015-01-01 23:00:00,2015,1,1,"Thurs",23
"1/2/2015 0:00",8,8,16,NA,5,30,2015-01-02 00:00:00,2015,1,2,"Fri",0
"1/2/2015 1:00",2,9,11,NA,5,26,2015-01-02 01:00:00,2015,1,2,"Fri",1
"1/2/2015 2:00",3,3,6,NA,5,26,2015-01-02 02:00:00,2015,1,2,"Fri",2
"1/2/2015 3:00",3,4,7,NA,5,28,2015-01-02 03:00:00,2015,1,2,"Fri",3
"1/2/2015 4:00",1,0,1,NA,5,28,2015-01-02 04:00:00,2015,1,2,"Fri",4
"1/2/2015 5:00",8,3,11,NA,5,26,2015-01-02 05:00:00,2015,1,2,"Fri",5
"1/2/2015 6:00",21,8,29,NA,5,28,2015-01-02 06:00:00,2015,1,2,"Fri",6
"1/2/2015 7:00",68,28,96,NA,6,32,2015-01-02 07:00:00,2015,1,2,"Fri",7
"1/2/2015 8:00",70,43,113,NA,6,32,2015-01-02 08:00:00,2015,1,2,"Fri",8
"1/2/2015 9:00",111,43,154,NA,7,24,2015-01-02 09:00:00,2015,1,2,"Fri",9
"1/2/2015 10:00",136,48,184,NA,8,20,2015-01-02 10:00:00,2015,1,2,"Fri",10
"1/2/2015 11:00",119,76,195,NA,8,28,2015-01-02 11:00:00,2015,1,2,"Fri",11
"1/2/2015 12:00",172,88,260,NA,8,28,2015-01-02 12:00:00,2015,1,2,"Fri",12
"1/2/2015 13:00",194,125,319,NA,8,24,2015-01-02 13:00:00,2015,1,2,"Fri",13
"1/2/2015 14:00",205,137,342,NA,8,33,2015-01-02 14:00:00,2015,1,2,"Fri",14
"1/2/2015 15:00",222,146,368,NA,7,28,2015-01-02 15:00:00,2015,1,2,"Fri",15
"1/2/2015 16:00",174,206,380,NA,7,28,2015-01-02 16:00:00,2015,1,2,"Fri",16
"1/2/2015 17:00",155,163,318,NA,6,28,2015-01-02 17:00:00,2015,1,2,"Fri",17
"1/2/2015 18:00",133,138,271,NA,6,26,2015-01-02 18:00:00,2015,1,2,"Fri",18
"1/2/2015 19:00",135,143,278,NA,6,26,2015-01-02 19:00:00,2015,1,2,"Fri",19
"1/2/2015 20:00",99,125,224,NA,6,26,2015-01-02 20:00:00,2015,1,2,"Fri",20
"1/2/2015 21:00",49,64,113,NA,5,24,2015-01-02 21:00:00,2015,1,2,"Fri",21
"1/2/2015 22:00",57,74,131,NA,5,24,2015-01-02 22:00:00,2015,1,2,"Fri",22
"1/2/2015 23:00",32,72,104,NA,4,20,2015-01-02 23:00:00,2015,1,2,"Fri",23
"1/3/2015 0:00",32,39,71,NA,4,22,2015-01-03 00:00:00,2015,1,3,"Sat",0
"1/3/2015 1:00",25,40,65,NA,4,20,2015-01-03 01:00:00,2015,1,3,"Sat",1
"1/3/2015 2:00",13,19,32,NA,4,15,2015-01-03 02:00:00,2015,1,3,"Sat",2
"1/3/2015 3:00",3,24,27,NA,4,17,2015-01-03 03:00:00,2015,1,3,"Sat",3
"1/3/2015 4:00",7,11,18,NA,4,15,2015-01-03 04:00:00,2015,1,3,"Sat",4
"1/3/2015 5:00",12,8,20,NA,4,17,2015-01-03 05:00:00,2015,1,3,"Sat",5
"1/3/2015 6:00",16,10,26,NA,4,17,2015-01-03 06:00:00,2015,1,3,"Sat",6
"1/3/2015 7:00",31,10,41,NA,4,17,2015-01-03 07:00:00,2015,1,3,"Sat",7
"1/3/2015 8:00",49,32,81,NA,4,20,2015-01-03 08:00:00,2015,1,3,"Sat",8
"1/3/2015 9:00",142,43,185,NA,4,24,2015-01-03 09:00:00,2015,1,3,"Sat",9
"1/3/2015 10:00",180,65,245,NA,5,24,2015-01-03 10:00:00,2015,1,3,"Sat",10
"1/3/2015 11:00",158,86,244,NA,4,30,2015-01-03 11:00:00,2015,1,3,"Sat",11
"1/3/2015 12:00",151,110,261,NA,3,24,2015-01-03 12:00:00,2015,1,3,"Sat",12
"1/3/2015 13:00",146,133,279,NA,3,19,2015-01-03 13:00:00,2015,1,3,"Sat",13
"1/3/2015 14:00",120,128,248,NA,3,17,2015-01-03 14:00:00,2015,1,3,"Sat",14
"1/3/2015 15:00",151,122,273,NA,3,13,2015-01-03 15:00:00,2015,1,3,"Sat",15
"1/3/2015 16:00",124,139,263,NA,3,15,2015-01-03 16:00:00,2015,1,3,"Sat",16
"1/3/2015 17:00",101,144,245,NA,3,17,2015-01-03 17:00:00,2015,1,3,"Sat",17
"1/3/2015 18:00",126,112,238,NA,3,13,2015-01-03 18:00:00,2015,1,3,"Sat",18
"1/3/2015 19:00",121,149,270,NA,3,15,2015-01-03 19:00:00,2015,1,3,"Sat",19
"1/3/2015 20:00",114,126,240,NA,3,17,2015-01-03 20:00:00,2015,1,3,"Sat",20
"1/3/2015 21:00",80,48,128,NA,3,19,2015-01-03 21:00:00,2015,1,3,"Sat",21
"1/3/2015 22:00",46,74,120,NA,3,15,2015-01-03 22:00:00,2015,1,3,"Sat",22
"1/3/2015 23:00",38,74,112,NA,2,13,2015-01-03 23:00:00,2015,1,3,"Sat",23
"1/4/2015 0:00",46,61,107,NA,3,17,2015-01-04 00:00:00,2015,1,4,"Sun",0
"1/4/2015 1:00",40,70,110,NA,3,15,2015-01-04 01:00:00,2015,1,4,"Sun",1
"1/4/2015 2:00",21,43,64,NA,2,15,2015-01-04 02:00:00,2015,1,4,"Sun",2
"1/4/2015 3:00",14,45,59,NA,3,17,2015-01-04 03:00:00,2015,1,4,"Sun",3
"1/4/2015 4:00",5,22,27,NA,3,19,2015-01-04 04:00:00,2015,1,4,"Sun",4
"1/4/2015 5:00",5,7,12,NA,2,15,2015-01-04 05:00:00,2015,1,4,"Sun",5
"1/4/2015 6:00",7,7,14,NA,2,15,2015-01-04 06:00:00,2015,1,4,"Sun",6
"1/4/2015 7:00",24,10,34,NA,3,17,2015-01-04 07:00:00,2015,1,4,"Sun",7
"1/4/2015 8:00",19,12,31,NA,2,15,2015-01-04 08:00:00,2015,1,4,"Sun",8
"1/4/2015 9:00",81,38,119,NA,2,17,2015-01-04 09:00:00,2015,1,4,"Sun",9
"1/4/2015 10:00",112,44,156,NA,4,17,2015-01-04 10:00:00,2015,1,4,"Sun",10
"1/4/2015 11:00",118,70,188,NA,5,19,2015-01-04 11:00:00,2015,1,4,"Sun",11
"1/4/2015 12:00",117,89,206,NA,6,19,2015-01-04 12:00:00,2015,1,4,"Sun",12
"1/4/2015 13:00",171,118,289,NA,7,17,2015-01-04 13:00:00,2015,1,4,"Sun",13
"1/4/2015 14:00",191,135,326,NA,6,20,2015-01-04 14:00:00,2015,1,4,"Sun",14
"1/4/2015 15:00",204,149,353,NA,6,15,2015-01-04 15:00:00,2015,1,4,"Sun",15
"1/4/2015 16:00",128,174,302,NA,4,13,2015-01-04 16:00:00,2015,1,4,"Sun",16
"1/4/2015 17:00",131,158,289,NA,2,15,2015-01-04 17:00:00,2015,1,4,"Sun",17
"1/4/2015 18:00",107,159,266,NA,2,11,2015-01-04 18:00:00,2015,1,4,"Sun",18
"1/4/2015 19:00",125,141,266,NA,1,11,2015-01-04 19:00:00,2015,1,4,"Sun",19
"1/4/2015 20:00",70,102,172,NA,1,9,2015-01-04 20:00:00,2015,1,4,"Sun",20
"1/4/2015 21:00",31,68,99,NA,2,9,2015-01-04 21:00:00,2015,1,4,"Sun",21
"1/4/2015 22:00",45,87,132,NA,1,9,2015-01-04 22:00:00,2015,1,4,"Sun",22
"1/4/2015 23:00",34,35,69,NA,2,9,2015-01-04 23:00:00,2015,1,4,"Sun",23
"1/5/2015 0:00",18,32,50,NA,2,11,2015-01-05 00:00:00,2015,1,5,"Mon",0
"1/5/2015 1:00",6,15,21,NA,1,9,2015-01-05 01:00:00,2015,1,5,"Mon",1
"1/5/2015 2:00",2,5,7,NA,1,13,2015-01-05 02:00:00,2015,1,5,"Mon",2
"1/5/2015 3:00",1,1,2,NA,1,19,2015-01-05 03:00:00,2015,1,5,"Mon",3
"1/5/2015 4:00",3,3,6,NA,1,17,2015-01-05 04:00:00,2015,1,5,"Mon",4
"1/5/2015 5:00",22,14,36,NA,2,17,2015-01-05 05:00:00,2015,1,5,"Mon",5
"1/5/2015 6:00",88,35,123,NA,2,19,2015-01-05 06:00:00,2015,1,5,"Mon",6
"1/5/2015 7:00",260,182,442,NA,2,17,2015-01-05 07:00:00,2015,1,5,"Mon",7
"1/5/2015 8:00",452,378,830,NA,2,15,2015-01-05 08:00:00,2015,1,5,"Mon",8
"1/5/2015 9:00",427,307,734,NA,2,15,2015-01-05 09:00:00,2015,1,5,"Mon",9
"1/5/2015 10:00",522,410,932,NA,3,15,2015-01-05 10:00:00,2015,1,5,"Mon",10
"1/5/2015 11:00",479,413,892,NA,3,15,2015-01-05 11:00:00,2015,1,5,"Mon",11
"1/5/2015 12:00",459,417,876,NA,4,13,2015-01-05 12:00:00,2015,1,5,"Mon",12
"1/5/2015 13:00",463,398,861,NA,4,17,2015-01-05 13:00:00,2015,1,5,"Mon",13
"1/5/2015 14:00",559,495,1054,NA,4,15,2015-01-05 14:00:00,2015,1,5,"Mon",14
"1/5/2015 15:00",548,474,1022,NA,4,17,2015-01-05 15:00:00,2015,1,5,"Mon",15
"1/5/2015 16:00",598,479,1077,NA,3,17,2015-01-05 16:00:00,2015,1,5,"Mon",16
"1/5/2015 17:00",742,472,1214,NA,2,6,2015-01-05 17:00:00,2015,1,5,"Mon",17
"1/5/2015 18:00",465,508,973,NA,2,6,2015-01-05 18:00:00,2015,1,5,"Mon",18
"1/5/2015 19:00",322,531,853,NA,2,7,2015-01-05 19:00:00,2015,1,5,"Mon",19
"1/5/2015 20:00",184,320,504,NA,2,4,2015-01-05 20:00:00,2015,1,5,"Mon",20
"1/5/2015 21:00",155,202,357,NA,2,4,2015-01-05 21:00:00,2015,1,5,"Mon",21
"1/5/2015 22:00",117,143,260,NA,2,6,2015-01-05 22:00:00,2015,1,5,"Mon",22
"1/5/2015 23:00",45,102,147,NA,2,6,2015-01-05 23:00:00,2015,1,5,"Mon",23
"1/6/2015 0:00",29,62,91,NA,3,4,2015-01-06 00:00:00,2015,1,6,"Tues",0
"1/6/2015 1:00",9,39,48,NA,3,6,2015-01-06 01:00:00,2015,1,6,"Tues",1
"1/6/2015 2:00",3,10,13,NA,2,4,2015-01-06 02:00:00,2015,1,6,"Tues",2
"1/6/2015 3:00",5,3,8,NA,2,6,2015-01-06 03:00:00,2015,1,6,"Tues",3
"1/6/2015 4:00",4,8,12,NA,2,6,2015-01-06 04:00:00,2015,1,6,"Tues",4
"1/6/2015 5:00",27,11,38,NA,3,6,2015-01-06 05:00:00,2015,1,6,"Tues",5
"1/6/2015 6:00",88,31,119,NA,3,7,2015-01-06 06:00:00,2015,1,6,"Tues",6
"1/6/2015 7:00",287,218,505,NA,3,6,2015-01-06 07:00:00,2015,1,6,"Tues",7
"1/6/2015 8:00",536,462,998,NA,3,7,2015-01-06 08:00:00,2015,1,6,"Tues",8
"1/6/2015 9:00",503,475,978,NA,3,7,2015-01-06 09:00:00,2015,1,6,"Tues",9
"1/6/2015 10:00",468,382,850,NA,4,7,2015-01-06 10:00:00,2015,1,6,"Tues",10
"1/6/2015 11:00",518,389,907,NA,4,6,2015-01-06 11:00:00,2015,1,6,"Tues",11
"1/6/2015 12:00",541,431,972,NA,5,7,2015-01-06 12:00:00,2015,1,6,"Tues",12
"1/6/2015 13:00",559,424,983,NA,5,7,2015-01-06 13:00:00,2015,1,6,"Tues",13
"1/6/2015 14:00",487,503,990,NA,5,7,2015-01-06 14:00:00,2015,1,6,"Tues",14
"1/6/2015 15:00",512,475,987,NA,4,6,2015-01-06 15:00:00,2015,1,6,"Tues",15
"1/6/2015 16:00",570,577,1147,NA,3,4,2015-01-06 16:00:00,2015,1,6,"Tues",16
"1/6/2015 17:00",629,569,1198,NA,4,9,2015-01-06 17:00:00,2015,1,6,"Tues",17
"1/6/2015 18:00",505,531,1036,NA,3,13,2015-01-06 18:00:00,2015,1,6,"Tues",18
"1/6/2015 19:00",411,418,829,NA,3,11,2015-01-06 19:00:00,2015,1,6,"Tues",19
"1/6/2015 20:00",235,309,544,NA,3,9,2015-01-06 20:00:00,2015,1,6,"Tues",20
"1/6/2015 21:00",154,196,350,NA,4,13,2015-01-06 21:00:00,2015,1,6,"Tues",21
"1/6/2015 22:00",98,236,334,NA,3,11,2015-01-06 22:00:00,2015,1,6,"Tues",22
"1/6/2015 23:00",60,96,156,NA,4,15,2015-01-06 23:00:00,2015,1,6,"Tues",23
"1/7/2015 0:00",24,54,78,NA,4,15,2015-01-07 00:00:00,2015,1,7,"Wed",0
"1/7/2015 1:00",13,31,44,NA,4,17,2015-01-07 01:00:00,2015,1,7,"Wed",1
"1/7/2015 2:00",3,4,7,NA,4,15,2015-01-07 02:00:00,2015,1,7,"Wed",2
"1/7/2015 3:00",4,4,8,NA,4,15,2015-01-07 03:00:00,2015,1,7,"Wed",3
"1/7/2015 4:00",4,3,7,NA,5,15,2015-01-07 04:00:00,2015,1,7,"Wed",4
"1/7/2015 5:00",28,9,37,NA,4,15,2015-01-07 05:00:00,2015,1,7,"Wed",5
"1/7/2015 6:00",100,33,133,NA,2,9,2015-01-07 06:00:00,2015,1,7,"Wed",6
"1/7/2015 7:00",517,235,752,NA,3,9,2015-01-07 07:00:00,2015,1,7,"Wed",7
"1/7/2015 8:00",687,507,1194,NA,4,9,2015-01-07 08:00:00,2015,1,7,"Wed",8
"1/7/2015 9:00",476,406,882,NA,4,13,2015-01-07 09:00:00,2015,1,7,"Wed",9
"1/7/2015 10:00",475,455,930,NA,4,19,2015-01-07 10:00:00,2015,1,7,"Wed",10
"1/7/2015 11:00",484,375,859,NA,4,20,2015-01-07 11:00:00,2015,1,7,"Wed",11
"1/7/2015 12:00",538,462,1000,NA,5,17,2015-01-07 12:00:00,2015,1,7,"Wed",12
"1/7/2015 13:00",570,459,1029,NA,6,15,2015-01-07 13:00:00,2015,1,7,"Wed",13
"1/7/2015 14:00",548,470,1018,NA,6,19,2015-01-07 14:00:00,2015,1,7,"Wed",14
"1/7/2015 15:00",549,570,1119,NA,6,15,2015-01-07 15:00:00,2015,1,7,"Wed",15
"1/7/2015 16:00",583,609,1192,NA,5,11,2015-01-07 16:00:00,2015,1,7,"Wed",16
"1/7/2015 17:00",650,633,1283,NA,4,13,2015-01-07 17:00:00,2015,1,7,"Wed",17
"1/7/2015 18:00",448,495,943,NA,5,15,2015-01-07 18:00:00,2015,1,7,"Wed",18
"1/7/2015 19:00",456,461,917,NA,4,15,2015-01-07 19:00:00,2015,1,7,"Wed",19
"1/7/2015 20:00",344,322,666,NA,4,17,2015-01-07 20:00:00,2015,1,7,"Wed",20
"1/7/2015 21:00",209,225,434,NA,4,15,2015-01-07 21:00:00,2015,1,7,"Wed",21
"1/7/2015 22:00",123,207,330,NA,3,17,2015-01-07 22:00:00,2015,1,7,"Wed",22
"1/7/2015 23:00",89,134,223,NA,3,20,2015-01-07 23:00:00,2015,1,7,"Wed",23
"1/8/2015 0:00",51,105,156,NA,3,20,2015-01-08 00:00:00,2015,1,8,"Thurs",0
"1/8/2015 1:00",19,66,85,NA,3,19,2015-01-08 01:00:00,2015,1,8,"Thurs",1
"1/8/2015 2:00",21,37,58,NA,3,20,2015-01-08 02:00:00,2015,1,8,"Thurs",2
"1/8/2015 3:00",2,32,34,NA,4,20,2015-01-08 03:00:00,2015,1,8,"Thurs",3
"1/8/2015 4:00",6,13,19,NA,4,19,2015-01-08 04:00:00,2015,1,8,"Thurs",4
"1/8/2015 5:00",34,14,48,NA,4,19,2015-01-08 05:00:00,2015,1,8,"Thurs",5
"1/8/2015 6:00",74,24,98,NA,5,24,2015-01-08 06:00:00,2015,1,8,"Thurs",6
"1/8/2015 7:00",397,209,606,NA,5,19,2015-01-08 07:00:00,2015,1,8,"Thurs",7
"1/8/2015 8:00",555,453,1008,NA,6,19,2015-01-08 08:00:00,2015,1,8,"Thurs",8
"1/8/2015 9:00",382,319,701,NA,6,19,2015-01-08 09:00:00,2015,1,8,"Thurs",9
"1/8/2015 10:00",455,356,811,NA,6,17,2015-01-08 10:00:00,2015,1,8,"Thurs",10
"1/8/2015 11:00",357,377,734,NA,7,19,2015-01-08 11:00:00,2015,1,8,"Thurs",11
"1/8/2015 12:00",392,445,837,NA,7,20,2015-01-08 12:00:00,2015,1,8,"Thurs",12
"1/8/2015 13:00",371,324,695,NA,7,19,2015-01-08 13:00:00,2015,1,8,"Thurs",13
"1/8/2015 14:00",327,361,688,NA,7,11,2015-01-08 14:00:00,2015,1,8,"Thurs",14
"1/8/2015 15:00",349,307,656,NA,8,13,2015-01-08 15:00:00,2015,1,8,"Thurs",15
"1/8/2015 16:00",365,299,664,NA,8,17,2015-01-08 16:00:00,2015,1,8,"Thurs",16
"1/8/2015 17:00",376,348,724,NA,6,28,2015-01-08 17:00:00,2015,1,8,"Thurs",17
"1/8/2015 18:00",299,294,593,NA,5,15,2015-01-08 18:00:00,2015,1,8,"Thurs",18
"1/8/2015 19:00",281,293,574,NA,5,11,2015-01-08 19:00:00,2015,1,8,"Thurs",19
"1/8/2015 20:00",148,188,336,NA,6,24,2015-01-08 20:00:00,2015,1,8,"Thurs",20
"1/8/2015 21:00",110,104,214,NA,6,30,2015-01-08 21:00:00,2015,1,8,"Thurs",21
"1/8/2015 22:00",89,127,216,NA,6,30,2015-01-08 22:00:00,2015,1,8,"Thurs",22
"1/8/2015 23:00",31,61,92,NA,6,30,2015-01-08 23:00:00,2015,1,8,"Thurs",23
"1/9/2015 0:00",21,69,90,NA,6,24,2015-01-09 00:00:00,2015,1,9,"Fri",0
"1/9/2015 1:00",12,23,35,NA,6,22,2015-01-09 01:00:00,2015,1,9,"Fri",1
"1/9/2015 2:00",2,16,18,NA,7,24,2015-01-09 02:00:00,2015,1,9,"Fri",2
"1/9/2015 3:00",5,8,13,NA,7,30,2015-01-09 03:00:00,2015,1,9,"Fri",3
"1/9/2015 4:00",8,6,14,NA,7,30,2015-01-09 04:00:00,2015,1,9,"Fri",4
"1/9/2015 5:00",27,12,39,NA,7,30,2015-01-09 05:00:00,2015,1,9,"Fri",5
"1/9/2015 6:00",58,30,88,NA,8,39,2015-01-09 06:00:00,2015,1,9,"Fri",6
"1/9/2015 7:00",301,158,459,NA,8,39,2015-01-09 07:00:00,2015,1,9,"Fri",7
"1/9/2015 8:00",376,344,720,NA,8,44,2015-01-09 08:00:00,2015,1,9,"Fri",8
"1/9/2015 9:00",338,263,601,NA,8,44,2015-01-09 09:00:00,2015,1,9,"Fri",9
"1/9/2015 10:00",345,261,606,NA,8,41,2015-01-09 10:00:00,2015,1,9,"Fri",10
"1/9/2015 11:00",363,228,591,NA,9,39,2015-01-09 11:00:00,2015,1,9,"Fri",11
"1/9/2015 12:00",402,286,688,NA,10,39,2015-01-09 12:00:00,2015,1,9,"Fri",12
"1/9/2015 13:00",358,341,699,NA,11,43,2015-01-09 13:00:00,2015,1,9,"Fri",13
"1/9/2015 14:00",341,345,686,NA,11,39,2015-01-09 14:00:00,2015,1,9,"Fri",14
"1/9/2015 15:00",336,269,605,NA,11,37,2015-01-09 15:00:00,2015,1,9,"Fri",15
"1/9/2015 16:00",338,285,623,NA,10,43,2015-01-09 16:00:00,2015,1,9,"Fri",16
"1/9/2015 17:00",340,304,644,NA,9,54,2015-01-09 17:00:00,2015,1,9,"Fri",17
"1/9/2015 18:00",326,242,568,NA,7,28,2015-01-09 18:00:00,2015,1,9,"Fri",18
"1/9/2015 19:00",337,191,528,NA,7,22,2015-01-09 19:00:00,2015,1,9,"Fri",19
"1/9/2015 20:00",241,179,420,NA,6,11,2015-01-09 20:00:00,2015,1,9,"Fri",20
"1/9/2015 21:00",150,141,291,NA,6,13,2015-01-09 21:00:00,2015,1,9,"Fri",21
"1/9/2015 22:00",100,166,266,NA,7,15,2015-01-09 22:00:00,2015,1,9,"Fri",22
"1/9/2015 23:00",60,124,184,NA,11,32,2015-01-09 23:00:00,2015,1,9,"Fri",23
"1/10/2015 0:00",39,167,206,NA,13,39,2015-01-10 00:00:00,2015,1,10,"Sat",0
"1/10/2015 1:00",32,136,168,NA,13,50,2015-01-10 01:00:00,2015,1,10,"Sat",1
"1/10/2015 2:00",22,67,89,NA,13,37,2015-01-10 02:00:00,2015,1,10,"Sat",2
"1/10/2015 3:00",15,70,85,NA,12,41,2015-01-10 03:00:00,2015,1,10,"Sat",3
"1/10/2015 4:00",9,36,45,NA,13,37,2015-01-10 04:00:00,2015,1,10,"Sat",4
"1/10/2015 5:00",25,28,53,NA,13,35,2015-01-10 05:00:00,2015,1,10,"Sat",5
"1/10/2015 6:00",16,7,23,NA,13,35,2015-01-10 06:00:00,2015,1,10,"Sat",6
"1/10/2015 7:00",58,21,79,NA,13,39,2015-01-10 07:00:00,2015,1,10,"Sat",7
"1/10/2015 8:00",95,29,124,NA,13,37,2015-01-10 08:00:00,2015,1,10,"Sat",8
"1/10/2015 9:00",182,58,240,NA,12,41,2015-01-10 09:00:00,2015,1,10,"Sat",9
"1/10/2015 10:00",214,81,295,NA,12,39,2015-01-10 10:00:00,2015,1,10,"Sat",10
"1/10/2015 11:00",184,93,277,NA,12,44,2015-01-10 11:00:00,2015,1,10,"Sat",11
"1/10/2015 12:00",200,135,335,NA,11,41,2015-01-10 12:00:00,2015,1,10,"Sat",12
"1/10/2015 13:00",178,130,308,NA,11,37,2015-01-10 13:00:00,2015,1,10,"Sat",13
"1/10/2015 14:00",134,139,273,NA,6,59,2015-01-10 14:00:00,2015,1,10,"Sat",14
"1/10/2015 15:00",83,126,209,NA,9,32,2015-01-10 15:00:00,2015,1,10,"Sat",15
"1/10/2015 16:00",114,131,245,NA,8,35,2015-01-10 16:00:00,2015,1,10,"Sat",16
"1/10/2015 17:00",125,130,255,NA,8,32,2015-01-10 17:00:00,2015,1,10,"Sat",17
"1/10/2015 18:00",136,147,283,NA,6,24,2015-01-10 18:00:00,2015,1,10,"Sat",18
"1/10/2015 19:00",162,167,329,NA,6,26,2015-01-10 19:00:00,2015,1,10,"Sat",19
"1/10/2015 20:00",174,169,343,NA,6,32,2015-01-10 20:00:00,2015,1,10,"Sat",20
"1/10/2015 21:00",130,86,216,NA,5,26,2015-01-10 21:00:00,2015,1,10,"Sat",21
"1/10/2015 22:00",95,84,179,NA,5,22,2015-01-10 22:00:00,2015,1,10,"Sat",22
"1/10/2015 23:00",81,81,162,NA,4,22,2015-01-10 23:00:00,2015,1,10,"Sat",23
"1/11/2015 0:00",86,111,197,NA,4,22,2015-01-11 00:00:00,2015,1,11,"Sun",0
"1/11/2015 1:00",72,111,183,NA,4,22,2015-01-11 01:00:00,2015,1,11,"Sun",1
"1/11/2015 2:00",52,71,123,NA,3,24,2015-01-11 02:00:00,2015,1,11,"Sun",2
"1/11/2015 3:00",38,70,108,NA,3,20,2015-01-11 03:00:00,2015,1,11,"Sun",3
"1/11/2015 4:00",34,30,64,NA,3,22,2015-01-11 04:00:00,2015,1,11,"Sun",4
"1/11/2015 5:00",27,21,48,NA,3,28,2015-01-11 05:00:00,2015,1,11,"Sun",5
"1/11/2015 6:00",11,13,24,NA,3,28,2015-01-11 06:00:00,2015,1,11,"Sun",6
"1/11/2015 7:00",24,14,38,NA,3,30,2015-01-11 07:00:00,2015,1,11,"Sun",7
"1/11/2015 8:00",41,10,51,NA,3,33,2015-01-11 08:00:00,2015,1,11,"Sun",8
"1/11/2015 9:00",105,33,138,NA,3,30,2015-01-11 09:00:00,2015,1,11,"Sun",9
"1/11/2015 10:00",125,45,170,NA,3,30,2015-01-11 10:00:00,2015,1,11,"Sun",10
"1/11/2015 11:00",106,62,168,NA,4,37,2015-01-11 11:00:00,2015,1,11,"Sun",11
"1/11/2015 12:00",135,97,232,NA,5,39,2015-01-11 12:00:00,2015,1,11,"Sun",12
"1/11/2015 13:00",179,98,277,NA,5,32,2015-01-11 13:00:00,2015,1,11,"Sun",13
"1/11/2015 14:00",169,136,305,NA,6,35,2015-01-11 14:00:00,2015,1,11,"Sun",14
"1/11/2015 15:00",178,119,297,NA,6,35,2015-01-11 15:00:00,2015,1,11,"Sun",15
"1/11/2015 16:00",162,166,328,NA,6,32,2015-01-11 16:00:00,2015,1,11,"Sun",16
"1/11/2015 17:00",157,182,339,NA,6,37,2015-01-11 17:00:00,2015,1,11,"Sun",17
"1/11/2015 18:00",126,191,317,NA,5,41,2015-01-11 18:00:00,2015,1,11,"Sun",18
"1/11/2015 19:00",122,167,289,NA,5,43,2015-01-11 19:00:00,2015,1,11,"Sun",19
"1/11/2015 20:00",59,144,203,NA,5,37,2015-01-11 20:00:00,2015,1,11,"Sun",20
"1/11/2015 21:00",44,84,128,NA,5,37,2015-01-11 21:00:00,2015,1,11,"Sun",21
"1/11/2015 22:00",43,105,148,NA,6,35,2015-01-11 22:00:00,2015,1,11,"Sun",22
"1/11/2015 23:00",29,76,105,NA,6,24,2015-01-11 23:00:00,2015,1,11,"Sun",23
"1/12/2015 0:00",25,21,46,NA,6,24,2015-01-12 00:00:00,2015,1,12,"Mon",0
"1/12/2015 1:00",14,19,33,NA,6,22,2015-01-12 01:00:00,2015,1,12,"Mon",1
